89,Como Vender a Lua,2024,ND,ND,ND,A especialista em marketing Kelly Jones causa estragos na já difícil tarefa do diretor de lançamento Cole Davis.
91,Uma Parede entre Nós,2024,1 h 38 min,12,"5,9","Valentina é uma jovem pianista recomeçando a vida. David, seu vizinho, é um inventor que odeia barulho. E uma parede fina está prestes a unir os dois."
93,Contra o Mundo,2023,1 h 55 min,18,"6,5","Acompanha Boy, um surdo-mudo com uma imaginação vibrante. Quando sua família é assassinada, ele é treinado por um misterioso xamã para reprimir sua imaginação infantil e se tornar um instrumento da morte."
94,Megan Leavey,2017,1 h 56 min,12,"7,1","A agente Megan tem como parceiro o cão Rex. Ela espera a aposentadoria do animal para adotá-lo, mas descobre que ele sofrerá uma eutanásia e luta para salvá-lo."
98,A Bruxa dos Mortos: Baghead,2023,1 h 34 min,14,"5,4","Após o falecimento do pai, Iris herda um antigo bar que abriga uma entidade capaz de incorporar os mortos. Tentada a explorar os poderes da criatura e ajudar pessoas desesperadas em troca de dinheiro, Iris mergulha em um terreno perigoso."
95,Sweet Dreams,2024,1 h 35 min,ND,"5,4","Acompanha Morris, que precisa treinar um time de softball de seus colegas de casa durante sua estadia obrigatória na casa de repouso Sweet Dreams, a fim de colocar sua vida de volta nos trilhos."
97,Godzilla Minus One,2023,2 h 4 min,12,"8,3","Em um Japão social e economicamente devastado após o término da Segunda Guerra Mundial, a situação chega a um nível ainda mais crítico quando uma gigantesca e misteriosa criatura surge do mar para assolar o país."
96,Crew,2024,1 h 58 min,ND,"7,6",Segue três mulheres trabalhadoras cujos destinos as levam a situações injustificadas e elas acabam presas em uma teia de mentiras.
100,Gladiator 2,2024,ND,ND,ND,"Follows Lucius, the son of Maximus's love Lucilla, after Maximus's death."
99,Ficção Americana,2023,1 h 57 min,16,"7,5","Um romancista que está cansado de ver o sistema lucrar com o entretenimento ""negro"" usa um pseudônimo para escrever um livro que o leva ao coração da hipocrisia e da loucura que ele diz desprezar."
Tempo decorrido:26.492069244384766
